Vehicle_ID,Frame_ID,Lane_ID,Local_Y,Mean_Speed,Mean_Accel,Vehicle_Length,Vehicle_Class_ID
12,513,1,50.83243,40.03432,-1.10013,8.40092,1
12,514,1,52.05675,40.16798,1.33645,8.40092,1
12,515,1,53.29441,40.60584,4.37861,8.40092,1
12,516,1,54.54857,41.14672,5.40892,8.40092,1
12,517,1,55.82299,41.81188,6.65135,8.40092,1
12,518,1,57.1205,42.56903,7.57165,8.40092,1
12,519,1,58.44233,43.36716,7.98117,8.40092,1
12,520,1,59.78838,44.16194,7.9479,8.40092,1
12,521,1,61.15715,44.90709,7.45135,8.40092,1
12,522,1,62.54527,45.54186,6.34797,8.40092,1
12,523,1,63.94724,45.99636,4.54482,8.40092,1
12,524,1,65.3561,46.22251,2.26135,8.40092,1
12,525,1,66.7665,46.27323,0.50725,8.40092,1
12,526,1,68.17693,46.27379,0.00561,8.40092,1
12,527,1,69.58759,46.28146,0.07684,8.40092,1
12,528,1,70.99862,46.2937,0.12247,8.40092,1
12,529,1,72.41021,46.31185,0.18127,8.40092,1
12,530,1,73.82265,46.34006,0.28235,8.40092,1
12,531,1,75.23647,46.38511,0.45023,8.40092,1
12,532,1,76.65242,46.45509,0.6998,8.40092,1
12,533,1,78.07158,46.56043,1.05344,8.40092,1
12,534,1,79.4956,46.71969,1.59275,8.40092,1
12,535,1,80.92712,46.96608,2.46388,8.40092,1
12,536,1,82.37004,47.33973,3.73642,8.40092,1
12,537,1,83.82878,47.85912,5.19413,8.40092,1
12,538,1,85.30682,48.4919,6.32772,8.40092,1
12,539,1,86.80502,49.15364,6.61739,8.40092,1
12,540,1,88.32093,49.73442,5.80771,8.40092,1
12,541,1,89.84896,50.13235,3.9794,8.40092,1
12,542,1,91.38146,50.27897,1.46617,8.40092,1
12,543,1,92.90971,50.13931,-1.39659,8.40092,1
12,544,1,94.42427,49.69016,-4.49144,8.40092,1
12,545,1,95.91536,48.92051,-7.69662,8.40092,1
12,546,1,97.37467,47.87743,-10.43084,8.40092,1
12,547,1,98.79742,46.67825,-11.99163,8.40092,1
12,548,1,100.1826,45.44547,-12.32779,8.40092,1
12,549,1,101.53163,44.25961,-11.85856,8.40092,1
12,550,1,102.84737,43.16739,-10.92221,8.40092,1
12,551,1,104.13355,42.19748,-9.69931,8.40092,1
12,552,1,105.39447,41.36854,-8.28953,8.40092,1
12,553,1,106.6348,40.69324,-6.75279,8.40092,1
12,554,1,107.85949,40.18022,-5.13018,8.40092,1
12,555,1,109.07365,39.83478,-3.45463,8.40092,1
12,556,1,110.28246,39.65912,-1.7564,8.40092,1
12,557,1,111.49107,39.65253,-0.06598,8.40092,1
12,558,1,112.70451,39.81096,1.58451,8.40092,1
12,559,1,113.92758,40.127,3.16017,8.40092,1
12,560,1,115.16474,40.58924,4.62261,8.40092,1
12,561,1,116.41997,41.18212,5.92858,8.40092,1
12,562,1,117.69662,41.88491,7.02808,8.40092,1
12,563,1,118.99723,42.67097,7.86033,8.40092,1
12,564,1,120.32328,43.50558,8.34613,8.40092,1
12,565,1,121.67485,44.34288,8.37306,8.40092,1
12,566,1,123.0501,45.11949,7.76604,8.40092,1
12,567,1,124.44433,45.74249,6.23009,8.40092,1
12,568,1,125.84843,46.06624,3.23743,8.40092,1
12,569,1,127.25123,46.02362,-0.42595,8.40092,1
12,570,1,128.64618,45.76621,-2.57428,8.40092,1
12,571,1,130.03256,45.48484,-2.81352,8.40092,1
12,572,1,131.41141,45.23793,-2.46919,8.40092,1
12,573,1,132.78277,44.99219,-2.45751,8.40092,1
12,574,1,134.14564,44.71365,-2.78533,8.40092,1
12,575,1,135.49986,44.42956,-2.84085,8.40092,1
12,576,1,136.84753,44.21486,-2.14711,8.40092,1
12,577,1,138.19293,44.14049,-0.74383,8.40092,1
12,578,1,139.54123,44.23557,0.95092,8.40092,1
12,579,1,140.8968,44.47415,2.38586,8.40092,1
12,580,1,142.26164,44.77832,3.04167,8.40092,1
12,581,1,143.63464,45.0457,2.67375,8.40092,1
12,582,1,145.01236,45.20082,1.55121,8.40092,1
12,583,1,146.39108,45.2337,0.3289,8.40092,1
12,584,1,147.76848,45.19042,-0.43284,8.40092,1
12,585,1,149.144,45.12838,-0.62018,8.40092,1
12,586,1,150.51806,45.08087,-0.47526,8.40092,1
12,587,1,151.89131,45.05427,-0.26614,8.40092,1
12,588,1,153.26426,45.04426,-0.09997,8.40092,1
12,589,1,154.63732,45.0478,0.03527,8.40092,1
12,590,1,156.01093,45.06588,0.18091,8.40092,1
12,591,1,157.3857,45.10417,0.38294,8.40092,1
12,592,1,158.76262,45.17435,0.70171,8.40092,1
12,593,1,160.14316,45.29354,1.19183,8.40092,1
12,594,1,161.52929,45.47648,1.82966,8.40092,1
12,595,1,162.92291,45.72248,2.45974,8.40092,1
12,596,1,164.32527,46.00929,2.86824,8.40092,1
12,597,1,165.73666,46.30532,2.96014,8.40092,1
12,598,1,167.15672,46.5899,2.84596,8.40092,1
12,599,1,168.58498,46.85896,2.69045,8.40092,1
12,600,1,170.02077,47.1062,2.47241,8.40092,1
12,601,1,171.46258,47.30335,1.97175,8.40092,1
12,602,1,172.90756,47.40728,1.03937,8.40092,1
12,603,1,174.35208,47.39265,-0.14649,8.40092,1
12,604,1,175.79315,47.2792,-1.13455,8.40092,1
12,605,1,177.22958,47.12674,-1.52438,8.40092,1
12,606,1,178.66227,47.00453,-1.22224,8.40092,1
12,607,1,180.09376,46.96486,-0.39656,8.40092,1
12,608,1,181.52758,47.04111,0.76247,8.40092,1
12,609,1,182.96815,47.26296,2.21827,8.40092,1
12,610,1,184.42092,47.66296,4.00003,8.40092,1
12,611,1,185.89159,48.25033,5.87369,8.40092,1
12,612,1,187.38477,48.98904,7.38714,8.40092,1
12,613,1,188.90345,49.82517,8.36135,8.40092,1
12,614,1,190.44932,50.71752,8.92349,8.40092,1
12,615,1,192.02323,51.63767,9.20141,8.40092,1
12,616,1,193.62535,52.56309,9.2542,8.40092,1
12,617,1,195.25524,53.47385,9.10778,8.40092,1
12,618,1,196.91186,54.35102,8.77162,8.40092,1
12,619,1,198.59361,55.17576,8.24744,8.40092,1
12,620,1,200.29834,55.9292,7.53442,8.40092,1
12,621,1,202.02328,56.59255,6.63333,8.40092,1
12,622,1,203.76514,57.14767,5.55148,8.40092,1
12,623,1,205.52014,57.57877,4.31076,8.40092,1
12,624,1,207.28417,57.87503,2.96276,8.40092,1
12,625,1,209.05313,58.03685,1.61795,8.40092,1
12,626,1,210.82363,58.08711,0.50266,8.40092,1
12,627,1,212.59434,58.09419,0.071,8.40092,1
12,628,1,214.36642,58.13901,0.44803,8.40092,1
12,629,1,216.14199,58.25387,1.14872,8.40092,1
12,630,1,217.92357,58.45082,1.96929,8.40092,1
12,631,1,219.71439,58.75394,3.0313,8.40092,1
12,632,1,221.51817,59.1791,4.25184,8.40092,1
12,633,1,223.33817,59.71116,5.32028,8.40092,1
12,634,1,225.17594,60.29436,5.83219,8.40092,1
12,635,1,227.0307,60.85174,5.57362,8.40092,1
12,636,1,228.89984,61.32336,4.71621,8.40092,1
